id_actividad,id_pais,id_ccaa,id_provincia,año,mes,categoria,producto,subcategoria,comunidad_autonoma,provincia,gasto_total_promedio,precio_medio_entrada_promedio,valoracion_por_categoria_promedio,valoracion_general_promedio,total_opiniones_categoria_promedio,hay_valoracion
178,ES,04,07,2023,7,vida nocturna,espectaculos,musica,illes balears,illes balears,399790.59,1656.69,4.12,4.33,122452,True
179,ES,17,26,2023,7,vida nocturna,espectaculos,musica,la rioja,la rioja,87169.0,1596.33,3.69,4.31,1866,True
180,ES,16,01,2023,7,vida nocturna,espectaculos,musica,pais vasco,araba/alava,33573.0,1083.0,3.82,4.41,1138,True
181,ES,16,48,2023,7,vida nocturna,espectaculos,musica,pais vasco,bizkaia,103964.25,1313.25,4.21,4.31,5615,True
182,ES,16,20,2023,7,vida nocturna,espectaculos,musica,pais vasco,gipuzkoa,113188.0,1495.67,4.14,4.41,5503,True
183,ES,03,33,2023,7,vida nocturna,espectaculos,musica,principado de asturias,asturias,143701.0,1022.33,4.18,4.35,9626,True
184,ES,14,30,2023,7,vida nocturna,espectaculos,musica,region de murcia,murcia,180908.67,1002.0,3.62,4.2,1488,True
185,ES,01,04,2023,7,vida nocturna,espectaculos,musicales,andalucia,almeria,7455.0,125.0,3.72,4.19,5362,True
186,ES,01,18,2023,7,vida nocturna,espectaculos,musicales,andalucia,granada,7095.0,165.0,3.92,4.37,10900,True
187,ES,01,29,2023,7,vida nocturna,espectaculos,musicales,andalucia,malaga,13554.0,502.0,4.3,4.43,56036,True
188,ES,05,35,2023,7,vida nocturna,espectaculos,musicales,canarias,las palmas,24526.0,535.5,4.24,4.28,129544,True
189,ES,05,38,2023,7,vida nocturna,espectaculos,musicales,canarias,santa cruz de tenerife,240.0,80.0,4.06,4.26,62671,True
190,ES,06,39,2023,7,vida nocturna,espectaculos,musicales,cantabria,cantabria,1188.0,198.0,4.02,4.27,5819,True
191,ES,07,37,2023,7,vida nocturna,espectaculos,musicales,castilla y leon,salamanca,80800.0,200.0,3.66,4.17,3701,True
192,ES,07,47,2023,7,vida nocturna,espectaculos,musicales,castilla y leon,valladolid,1440.0,160.0,4.01,4.06,1293,True
193,ES,09,08,2023,7,vida nocturna,espectaculos,musicales,cataluna,barcelona,1582266.0,1119.0,3.95,4.05,119743,True
